key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Word,Experiment,root_syllable,phonemes_firstsyllable,spatial_verb,Number_of_morphemes,lexical_freq,lex_freq_lexesp,Item_Type,list,wav,CorrResp,CorrRespNumb,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_4.keys,key_resp_4.rt,key_resp_6.keys,key_resp_6.corr,key_resp_6.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,CorRespNumb,key_resp_5.keys,key_resp_5.rt
,,,,,,,,,,,,reasuto,morfosyllable,NA,NA,NA,NA,NA,NA,pseudoword,"1,2and3",reasuto.wav,right,,L2SPAN_2023_41,2023-09-08_21h39.19.980,auditory_ldt_2023_esp_list3,2021.1.1,MacIntel,76.92307692,,,0,1,1.023,0,39,39,39,1,0,,
,,,,,,,,,,,,descansar,visuospatial,NA,NA,no,NA,NA,NA,word,"1,2and3",descansar.wav,left,,L2SPAN_2023_41,2023-09-08_21h39.19.980,auditory_ldt_2023_esp_list3,2021.1.1,MacIntel,76.92307692,,,1,1,0.789,0,40,40,40,1,1,,
,,,,,,,,,,,,galsuto,morfosyllable,NA,NA,NA,NA,NA,NA,pseudoword,"1,2and3",galsuto.wav,right,,L2SPAN_2023_41,2023-09-08_21h39.19.980,auditory_ldt_2023_esp_list3,2021.1.1,MacIntel,76.92307692,,,0,1,0.814,0,41,41,41,1,0,,
,,,,,,,,,,,,teñias,InflectionalVerbs,NA,NA,NA,3,Low,0.36,word,3,teñias.wav,left,,L2SPAN_2023_41,2023-09-08_21h39.19.980,auditory_ldt_2023_esp_list3,2021.1.1,MacIntel,76.92307692,,,1,1,3.813,0,42,42,42,1,1,,
,,,,,,,,,,,,akirsar,visuospatial,NA,NA,NA,NA,NA,NA,pseudoword,"1,2and3",akirsar.wav,right,,L2SPAN_2023_41,2023-09-08_21h39.19.980,auditory_ldt_2023_esp_list3,2021.1.1,MacIntel,76.92307692,,,0,1,3.16,0,43,43,43,1,0,,
,,,,,,,,,,,,aclarar,visuospatial,NA,NA,no,NA,NA,NA,word,"1,2and3",aclarar.wav,left,,L2SPAN_2023_41,2023-09-08_21h39.19.980,auditory_ldt_2023_esp_list3,2021.1.1,MacIntel,76.92307692,,,1,1,0.677,0,44,44,44,1,1,,
,,,,,,,,,,,,noiais,InflectionalVerbs,NA,NA,NA,NA,NA,NA,pseudoword,3,noiais.wav,right,,L2SPAN_2023_41,2023-09-08_21h39.19.980,auditory_ldt_2023_esp_list3,2021.1.1,MacIntel,76.92307692,,,0,1,1.889,0,45,45,45,1,0,,
,,,,,,,,,,,,afrontar,visuospatial,NA,NA,no,NA,NA,NA,word,"1,2and3",afrontar.wav,left,,L2SPAN_2023_41,2023-09-08_21h39.19.980,auditory_ldt_2023_esp_list3,2021.1.1,MacIntel,76.92307692,,,1,1,0.643,0,46,46,46,1,1,,
,,,,,,,,,,,,nulvia,InflectionalVerbs,NA,NA,NA,NA,NA,NA,pseudoword,3,nulvia.wav,right,,L2SPAN_2023_41,2023-09-08_21h39.19.980,auditory_ldt_2023_esp_list3,2021.1.1,MacIntel,76.92307692,,,1,0,1.224,0,47,47,47,1,0,,
,,,,,,,,,,,,adentrar,visuospatial,NA,NA,yes,NA,NA,NA,word,"1,2and3",adentrar.wav,left,,L2SPAN_2023_41,2023-09-08_21h39.19.980,auditory_ldt_2023_esp_list3,2021.1.1,MacIntel,76.92307692,,,0,0,1.062,0,48,48,48,1,1,,
,,,,,,,,,,,,torciais,InflectionalVerbs,NA,NA,NA,4,Low,1.24,word,3,torciais.wav,left,,L2SPAN_2023_41,2023-09-08_21h39.19.980,auditory_ldt_2023_esp_list3,2021.1.1,MacIntel,76.92307692,,,1,1,1.895,0,49,49,49,1,1,,
,,,,,,,,,,,,pancito,morfosyllable,coincidente,3,NA,NA,NA,NA,word,"1,2and3",pancito.wav,left,,L2SPAN_2023_41,2023-09-08_21h39.19.980,auditory_ldt_2023_esp_list3,2021.1.1,MacIntel,76.92307692,,,1,1,0.944,0,50,50,50,1,1,,
,,,,,,,,,,,,tejia,InflectionalVerbs,NA,NA,NA,2,Low,4.26,word,3,tejia.wav,left,,L2SPAN_2023_41,2023-09-08_21h39.19.980,auditory_ldt_2023_esp_list3,2021.1.1,MacIntel,76.92307692,,,1,1,1.006,0,51,51,51,1,1,,
,,,,,,,,,,,,amanar,visuospatial,NA,NA,NA,NA,NA,NA,pseudoword,"1,2and3",amanar.wav,right,,L2SPAN_2023_41,2023-09-08_21h39.19.980,auditory_ldt_2023_esp_list3,2021.1.1,MacIntel,76.92307692,,,0,1,0.773,0,52,52,52,1,0,,
,,,,,,,,,,,,aprobar,visuospatial,NA,NA,no,NA,NA,NA,word,"1,2and3",aprobar.wav,left,,L2SPAN_2023_41,2023-09-08_21h39.19.980,auditory_ldt_2023_esp_list3,2021.1.1,MacIntel,76.92307692,,,1,1,0.561,0,53,53,53,1,1,,
,,,,,,,,,,,,salias,InflectionalVerbs,NA,NA,NA,3,High,169.12,word,3,salias.wav,left,,L2SPAN_2023_41,2023-09-08_21h39.19.980,auditory_ldt_2023_esp_list3,2021.1.1,MacIntel,76.92307692,,,1,1,0.816,0,54,54,54,1,1,,
,,,,,,,,,,,,lomito,morfosyllable,diferente,NA,NA,NA,NA,NA,word,"1,2and3",lomito.wav,left,,L2SPAN_2023_41,2023-09-08_21h39.19.980,auditory_ldt_2023_esp_list3,2021.1.1,MacIntel,76.92307692,,,0,0,0.526,0,55,55,55,1,1,,
,,,,,,,,,,,,pojia,InflectionalVerbs,NA,NA,NA,NA,NA,NA,pseudoword,3,pojia.wav,right,,L2SPAN_2023_41,2023-09-08_21h39.19.980,auditory_ldt_2023_esp_list3,2021.1.1,MacIntel,76.92307692,,,0,1,0.878,0,56,56,56,1,0,,
,,,,,,,,,,,,desconfiar,visuospatial,NA,NA,no,NA,NA,NA,word,"1,2and3",desconfiar.wav,left,,L2SPAN_2023_41,2023-09-08_21h39.19.980,auditory_ldt_2023_esp_list3,2021.1.1,MacIntel,76.92307692,,,1,1,0.659,0,57,57,57,1,1,,
,,,,,,,,,,,,puertito,morfosyllable,diferente,NA,NA,NA,NA,NA,word,"1,2and3",puertito.wav,left,,L2SPAN_2023_41,2023-09-08_21h39.19.980,auditory_ldt_2023_esp_list3,2021.1.1,MacIntel,76.92307692,,,1,1,1.34,0,58,58,58,1,1,,
,,,,,,,,,,,,creias,InflectionalVerbs,NA,NA,NA,3,High,62.35,word,3,creias.wav,left,,L2SPAN_2023_41,2023-09-08_21h39.19.980,auditory_ldt_2023_esp_list3,2021.1.1,MacIntel,76.92307692,,,1,1,5.548,0,59,59,59,1,1,,
,,,,,,,,,,,,plensuto,morfosyllable,NA,NA,NA,NA,NA,NA,pseudoword,"1,2and3",plensuto.wav,right,,L2SPAN_2023_41,2023-09-08_21h39.19.980,auditory_ldt_2023_esp_list3,2021.1.1,MacIntel,76.92307692,,,0,1,4.926,0,60,60,60,1,0,,
,,,,,,,,,,,,apirdar,visuospatial,NA,NA,NA,NA,NA,NA,pseudoword,"1,2and3",apirdar.wav,right,,L2SPAN_2023_41,2023-09-08_21h39.19.980,auditory_ldt_2023_esp_list3,2021.1.1,MacIntel,76.92307692,,,0,1,1.281,0,61,61,61,1,0,,
,,,,,,,,,,,,descrefiar,visuospatial,NA,NA,NA,NA,NA,NA,pseudoword,"1,2and3",descrefiar.wav,right,,L2SPAN_2023_41,2023-09-08_21h39.19.980,auditory_ldt_2023_esp_list3,2021.1.1,MacIntel,76.92307692,,,0,1,3.746,0,62,62,62,1,0,,
,,,,,,,,,,,,herias,InflectionalVerbs,NA,NA,NA,3,Low,5.15,word,3,herias.wav,left,,L2SPAN_2023_41,2023-09-08_21h39.19.980,auditory_ldt_2023_esp_list3,2021.1.1,MacIntel,76.92307692,,,1,1,0.644,0,63,63,63,1,1,,
