key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Word,Experiment,root_syllable,phonemes_firstsyllable,spatial_verb,Number_of_morphemes,lexical_freq,lex_freq_lexesp,Item_Type,list,wav,CorrResp,CorrRespNumb,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_4.keys,key_resp_4.rt,key_resp_6.keys,key_resp_6.corr,key_resp_6.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,CorRespNumb,key_resp_5.keys,key_resp_5.rt
space,30.836,y,1.6248,1,1,2.3258,0,0,0,0,1,casita,practica,NA,NA,NA,NA,NA,NA,NA,NA,casita.wav,left,1,INC_J_ADV_07,2023-07-20_09h29.29.743,auditory_ldt_2023_esp_list2,2021.1.1,Win32,59.9880024,,,,,,,,,,,,,
,,,,1,1,0.9752,0,1,1,1,1,acabar,practica,NA,NA,NA,NA,NA,NA,NA,NA,acabar.wav,left,1,INC_J_ADV_07,2023-07-20_09h29.29.743,auditory_ldt_2023_esp_list2,2021.1.1,Win32,59.9880024,,,,,,,,,,,,,
,,,,0,1,1.1349,0,2,2,2,1,arujar,practica,NA,NA,NA,NA,NA,NA,NA,NA,arujar.wav,right,0,INC_J_ADV_07,2023-07-20_09h29.29.743,auditory_ldt_2023_esp_list2,2021.1.1,Win32,59.9880024,,,,,,,,,,,,,
,,,,1,1,0.8269,0,3,3,3,1,gatito,practica,NA,NA,NA,NA,NA,NA,NA,NA,gatito.wav,left,1,INC_J_ADV_07,2023-07-20_09h29.29.743,auditory_ldt_2023_esp_list2,2021.1.1,Win32,59.9880024,,,,,,,,,,,,,
,,,,0,1,1.911,0,4,4,4,1,deslopar,practica,NA,NA,NA,NA,NA,NA,NA,NA,deslopar.wav,right,0,INC_J_ADV_07,2023-07-20_09h29.29.743,auditory_ldt_2023_esp_list2,2021.1.1,Win32,59.9880024,,,,,,,,,,,,,
,,,,0,1,0.9912,0,5,5,5,1,masuto,practica,NA,NA,NA,NA,NA,NA,NA,NA,masuto.wav,right,0,INC_J_ADV_07,2023-07-20_09h29.29.743,auditory_ldt_2023_esp_list2,2021.1.1,Win32,59.9880024,,,,,,,,,,,,,
,,,,,,,,,,,,solcito,morfosyllable,coincidente,3,NA,NA,NA,NA,word,"1,2and3",solcito.wav,left,,INC_J_ADV_07,2023-07-20_09h29.29.743,auditory_ldt_2023_esp_list2,2021.1.1,Win32,59.9880024,k,5.2477,1,1,0.8288,0,0,0,0,1,1,,
,,,,,,,,,,,,descungiar,visuospatial,NA,NA,NA,NA,NA,NA,pseudoword,"1,2and3",descungiar.wav,right,,INC_J_ADV_07,2023-07-20_09h29.29.743,auditory_ldt_2023_esp_list2,2021.1.1,Win32,59.9880024,,,1,0,1.3528,0,1,1,1,1,0,,
,,,,,,,,,,,,borsuto,morfosyllable,NA,NA,NA,NA,NA,NA,pseudoword,"1,2and3",borsuto.wav,right,,INC_J_ADV_07,2023-07-20_09h29.29.743,auditory_ldt_2023_esp_list2,2021.1.1,Win32,59.9880024,,,0,1,1.2478,0,2,2,2,1,0,,
,,,,,,,,,,,,apartar,visuospatial,NA,NA,yes,NA,NA,NA,word,"1,2and3",apartar.wav,left,,INC_J_ADV_07,2023-07-20_09h29.29.743,auditory_ldt_2023_esp_list2,2021.1.1,Win32,59.9880024,,,1,1,1.3462,0,3,3,3,1,1,,
,,,,,,,,,,,,vesuto,morfosyllable,NA,NA,NA,NA,NA,NA,pseudoword,"1,2and3",vesuto.wav,right,,INC_J_ADV_07,2023-07-20_09h29.29.743,auditory_ldt_2023_esp_list2,2021.1.1,Win32,59.9880024,,,0,1,1.0249,0,4,4,4,1,0,,
,,,,,,,,,,,,ardia,InflectionalVerbs,NA,NA,NA,2,Low,3.38,word,2,ardia.wav,left,,INC_J_ADV_07,2023-07-20_09h29.29.743,auditory_ldt_2023_esp_list2,2021.1.1,Win32,59.9880024,,,1,1,1.9587,0,5,5,5,1,1,,
,,,,,,,,,,,,seclia,InflectionalVerbs,NA,NA,NA,NA,NA,NA,pseudoword,2,seclia.wav,right,,INC_J_ADV_07,2023-07-20_09h29.29.743,auditory_ldt_2023_esp_list2,2021.1.1,Win32,59.9880024,,,0,1,1.4748,0,6,6,6,1,0,,
,,,,,,,,,,,,descansar,visuospatial,NA,NA,no,NA,NA,NA,word,"1,2and3",descansar.wav,left,,INC_J_ADV_07,2023-07-20_09h29.29.743,auditory_ldt_2023_esp_list2,2021.1.1,Win32,59.9880024,,,1,1,0.8744,0,7,7,7,1,1,,
,,,,,,,,,,,,retuto,morfosyllable,NA,NA,NA,NA,NA,NA,pseudoword,"1,2and3",retuto.wav,right,,INC_J_ADV_07,2023-07-20_09h29.29.743,auditory_ldt_2023_esp_list2,2021.1.1,Win32,59.9880024,,,0,1,2.1356,0,8,8,8,1,0,,
,,,,,,,,,,,,remuta,morfosyllable,NA,NA,NA,NA,NA,NA,pseudoword,"1,2and3",remuta.wav,right,,INC_J_ADV_07,2023-07-20_09h29.29.743,auditory_ldt_2023_esp_list2,2021.1.1,Win32,59.9880024,,,0,1,1.6015,0,9,9,9,1,0,,
,,,,,,,,,,,,abordar,visuospatial,NA,NA,yes,NA,NA,NA,word,"1,2and3",abordar.wav,left,,INC_J_ADV_07,2023-07-20_09h29.29.743,auditory_ldt_2023_esp_list2,2021.1.1,Win32,59.9880024,,,1,1,0.8137,0,10,10,10,1,1,,
,,,,,,,,,,,,galsuto,morfosyllable,NA,NA,NA,NA,NA,NA,pseudoword,"1,2and3",galsuto.wav,right,,INC_J_ADV_07,2023-07-20_09h29.29.743,auditory_ldt_2023_esp_list2,2021.1.1,Win32,59.9880024,,,0,1,1.1199,0,11,11,11,1,0,,
,,,,,,,,,,,,carrito,morfosyllable,diferente,NA,NA,NA,NA,NA,word,"1,2and3",carrito.wav,left,,INC_J_ADV_07,2023-07-20_09h29.29.743,auditory_ldt_2023_esp_list2,2021.1.1,Win32,59.9880024,,,1,1,1.412,0,12,12,12,1,1,,
,,,,,,,,,,,,perdias,InflectionalVerbs,NA,NA,NA,3,High,78.87,word,2,perdias.wav,left,,INC_J_ADV_07,2023-07-20_09h29.29.743,auditory_ldt_2023_esp_list2,2021.1.1,Win32,59.9880024,,,1,1,1.1096,0,13,13,13,1,1,,
,,,,,,,,,,,,librito,morfosyllable,diferente,NA,NA,NA,NA,NA,word,"1,2and3",librito.wav,left,,INC_J_ADV_07,2023-07-20_09h29.29.743,auditory_ldt_2023_esp_list2,2021.1.1,Win32,59.9880024,,,1,1,0.9848,0,14,14,14,1,1,,
,,,,,,,,,,,,vasito,morfosyllable,diferente,NA,NA,NA,NA,NA,word,"1,2and3",vasito.wav,left,,INC_J_ADV_07,2023-07-20_09h29.29.743,auditory_ldt_2023_esp_list2,2021.1.1,Win32,59.9880024,,,1,1,0.6272,0,15,15,15,1,1,,
,,,,,,,,,,,,agarrar,visuospatial,NA,NA,yes,NA,NA,NA,word,"1,2and3",agarrar.wav,left,,INC_J_ADV_07,2023-07-20_09h29.29.743,auditory_ldt_2023_esp_list2,2021.1.1,Win32,59.9880024,,,1,1,0.9261,0,16,16,16,1,1,,
,,,,,,,,,,,,cogias,InflectionalVerbs,NA,NA,NA,3,High,17.76,word,2,cogias.wav,left,,INC_J_ADV_07,2023-07-20_09h29.29.743,auditory_ldt_2023_esp_list2,2021.1.1,Win32,59.9880024,,,1,1,1.3598,0,17,17,17,1,1,,
,,,,,,,,,,,,flaias,InflectionalVerbs,NA,NA,NA,NA,NA,NA,pseudoword,2,flaias.wav,right,,INC_J_ADV_07,2023-07-20_09h29.29.743,auditory_ldt_2023_esp_list2,2021.1.1,Win32,59.9880024,,,0,1,1.2641,0,18,18,18,1,0,,
,,,,,,,,,,,,lomito,morfosyllable,diferente,NA,NA,NA,NA,NA,word,"1,2and3",lomito.wav,left,,INC_J_ADV_07,2023-07-20_09h29.29.743,auditory_ldt_2023_esp_list2,2021.1.1,Win32,59.9880024,,,1,1,0.8075,0,19,19,19,1,1,,
