key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Word,Experiment,root_syllable,phonemes_firstsyllable,spatial_verb,Number_of_morphemes,lexical_freq,lex_freq_lexesp,Item_Type,list,wav,CorrResp,CorrRespNumb,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_4.keys,key_resp_4.rt,key_resp_6.keys,key_resp_6.corr,key_resp_6.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,CorRespNumb,key_resp_5.keys,key_resp_5.rt
space,1.4453,y,2.9437,0,0,40.625,0,0,0,0,1,casita,practica,NA,NA,NA,NA,NA,NA,NA,NA,casita.wav,left,1,inc_j_beg_04,2023-07-20_09h22.31.002,auditory_ldt_2023_esp_list1,2021.1.1,Win32,60.0024001,,,,,,,,,,,,,
,,,,1,1,0.5267,0,1,1,1,1,acabar,practica,NA,NA,NA,NA,NA,NA,NA,NA,acabar.wav,left,1,inc_j_beg_04,2023-07-20_09h22.31.002,auditory_ldt_2023_esp_list1,2021.1.1,Win32,60.0024001,,,,,,,,,,,,,
,,,,1,0,0.4461,0,2,2,2,1,arujar,practica,NA,NA,NA,NA,NA,NA,NA,NA,arujar.wav,right,0,inc_j_beg_04,2023-07-20_09h22.31.002,auditory_ldt_2023_esp_list1,2021.1.1,Win32,60.0024001,,,,,,,,,,,,,
,,,,0,0,1.2444,0,3,3,3,1,gatito,practica,NA,NA,NA,NA,NA,NA,NA,NA,gatito.wav,left,1,inc_j_beg_04,2023-07-20_09h22.31.002,auditory_ldt_2023_esp_list1,2021.1.1,Win32,60.0024001,,,,,,,,,,,,,
,,,,0,1,0.1604,0,4,4,4,1,deslopar,practica,NA,NA,NA,NA,NA,NA,NA,NA,deslopar.wav,right,0,inc_j_beg_04,2023-07-20_09h22.31.002,auditory_ldt_2023_esp_list1,2021.1.1,Win32,60.0024001,,,,,,,,,,,,,
,,,,1,0,10.9355,0,5,5,5,1,masuto,practica,NA,NA,NA,NA,NA,NA,NA,NA,masuto.wav,right,0,inc_j_beg_04,2023-07-20_09h22.31.002,auditory_ldt_2023_esp_list1,2021.1.1,Win32,60.0024001,,,,,,,,,,,,,
,,,,,,,,,,,,solcito,morfosyllable,coincidente,3,NA,NA,NA,NA,word,"1,2and3",solcito.wav,left,,inc_j_beg_04,2023-07-20_09h22.31.002,auditory_ldt_2023_esp_list1,2021.1.1,Win32,60.0024001,k,7.6618,0,0,2.2427,0,0,0,0,1,1,,
,,,,,,,,,,,,timpiais,InflectionalVerbs,NA,NA,NA,NA,NA,NA,pseudoword,1,timpiais.wav,right,,inc_j_beg_04,2023-07-20_09h22.31.002,auditory_ldt_2023_esp_list1,2021.1.1,Win32,60.0024001,,,1,0,0.1919,0,1,1,1,1,0,,
,,,,,,,,,,,,anotar,visuospatial,NA,NA,no,NA,NA,NA,word,"1,2and3",anotar.wav,left,,inc_j_beg_04,2023-07-20_09h22.31.002,auditory_ldt_2023_esp_list1,2021.1.1,Win32,60.0024001,,,1,1,0.714,0,2,2,2,1,1,,
,,,,,,,,,,,,clobsuto,morfosyllable,NA,NA,NA,NA,NA,NA,pseudoword,"1,2and3",clobsuto.wav,right,,inc_j_beg_04,2023-07-20_09h22.31.002,auditory_ldt_2023_esp_list1,2021.1.1,Win32,60.0024001,,,1,0,0.1105,0,3,3,3,1,0,,
,,,,,,,,,,,,firrias,InflectionalVerbs,NA,NA,NA,NA,NA,NA,pseudoword,1,firrias.wav,right,,inc_j_beg_04,2023-07-20_09h22.31.002,auditory_ldt_2023_esp_list1,2021.1.1,Win32,60.0024001,,,1,0,0.3927,0,4,4,4,1,0,,
,,,,,,,,,,,,acortar,visuospatial,NA,NA,yes,NA,NA,NA,word,"1,2and3",acortar.wav,left,,inc_j_beg_04,2023-07-20_09h22.31.002,auditory_ldt_2023_esp_list1,2021.1.1,Win32,60.0024001,,,0,0,0.4597,0,5,5,5,1,1,,
,,,,,,,,,,,,alejar,visuospatial,NA,NA,yes,NA,NA,NA,word,"1,2and3",alejar.wav,left,,inc_j_beg_04,2023-07-20_09h22.31.002,auditory_ldt_2023_esp_list1,2021.1.1,Win32,60.0024001,,,1,1,0.1589,0,6,6,6,1,1,,
,,,,,,,,,,,,mielcita,morfosyllable,coincidente,4,NA,NA,NA,NA,word,"1,2and3",mielcita.wav,left,,inc_j_beg_04,2023-07-20_09h22.31.002,auditory_ldt_2023_esp_list1,2021.1.1,Win32,60.0024001,,,0,0,0.0243,0,7,7,7,1,1,,
,,,,,,,,,,,,girtias,InflectionalVerbs,NA,NA,NA,NA,NA,NA,pseudoword,1,girtias.wav,right,,inc_j_beg_04,2023-07-20_09h22.31.002,auditory_ldt_2023_esp_list1,2021.1.1,Win32,60.0024001,,,0,1,0.4464,0,8,8,8,1,0,,
,,,,,,,,,,,,descrefiar,visuospatial,NA,NA,NA,NA,NA,NA,pseudoword,"1,2and3",descrefiar.wav,right,,inc_j_beg_04,2023-07-20_09h22.31.002,auditory_ldt_2023_esp_list1,2021.1.1,Win32,60.0024001,,,1,0,0.0768,0,9,9,9,1,0,,
,,,,,,,,,,,,juancito,morfosyllable,coincidente,4,NA,NA,NA,NA,word,"1,2and3",juancito.wav,left,,inc_j_beg_04,2023-07-20_09h22.31.002,auditory_ldt_2023_esp_list1,2021.1.1,Win32,60.0024001,,,1,1,0.06,0,10,10,10,1,1,,
,,,,,,,,,,,,afrontar,visuospatial,NA,NA,no,NA,NA,NA,word,"1,2and3",afrontar.wav,left,,inc_j_beg_04,2023-07-20_09h22.31.002,auditory_ldt_2023_esp_list1,2021.1.1,Win32,60.0024001,,,0,0,0.2334,0,11,11,11,1,1,,
,,,,,,,,,,,,selsuto,morfosyllable,NA,NA,NA,NA,NA,NA,pseudoword,"1,2and3",selsuto.wav,right,,inc_j_beg_04,2023-07-20_09h22.31.002,auditory_ldt_2023_esp_list1,2021.1.1,Win32,60.0024001,,,1,0,0.3294,0,12,12,12,1,0,,
,,,,,,,,,,,,goias,InflectionalVerbs,NA,NA,NA,NA,NA,NA,pseudoword,1,goias.wav,right,,inc_j_beg_04,2023-07-20_09h22.31.002,auditory_ldt_2023_esp_list1,2021.1.1,Win32,60.0024001,,,0,1,0.2434,0,13,13,13,1,0,,
,,,,,,,,,,,,fundias,InflectionalVerbs,NA,NA,NA,3,Low,1.78,word,1,fundias.wav,left,,inc_j_beg_04,2023-07-20_09h22.31.002,auditory_ldt_2023_esp_list1,2021.1.1,Win32,60.0024001,,,0,0,0.011,0,14,14,14,1,1,,
,,,,,,,,,,,,galsuto,morfosyllable,NA,NA,NA,NA,NA,NA,pseudoword,"1,2and3",galsuto.wav,right,,inc_j_beg_04,2023-07-20_09h22.31.002,auditory_ldt_2023_esp_list1,2021.1.1,Win32,60.0024001,,,0,1,0.0272,0,15,15,15,1,0,,
,,,,,,,,,,,,acallar,visuospatial,NA,NA,no,NA,NA,NA,word,"1,2and3",acallar.wav,left,,inc_j_beg_04,2023-07-20_09h22.31.002,auditory_ldt_2023_esp_list1,2021.1.1,Win32,60.0024001,,,1,1,0.4809,0,16,16,16,1,1,,
,,,,,,,,,,,,pielcita,morfosyllable,coincidente,4,NA,NA,NA,NA,word,"1,2and3",pielcita.wav,left,,inc_j_beg_04,2023-07-20_09h22.31.002,auditory_ldt_2023_esp_list1,2021.1.1,Win32,60.0024001,,,1,1,0.0089,0,17,17,17,1,1,,
,,,,,,,,,,,,apartar,visuospatial,NA,NA,yes,NA,NA,NA,word,"1,2and3",apartar.wav,left,,inc_j_beg_04,2023-07-20_09h22.31.002,auditory_ldt_2023_esp_list1,2021.1.1,Win32,60.0024001,,,0,0,0.3255,0,18,18,18,1,1,,
,,,,,,,,,,,,yacia,InflectionalVerbs,NA,NA,NA,2,Low,1.42,word,1,yacia.wav,left,,inc_j_beg_04,2023-07-20_09h22.31.002,auditory_ldt_2023_esp_list1,2021.1.1,Win32,60.0024001,,,0,0,0.3937,0,19,19,19,1,1,,
,,,,,,,,,,,,vocias,InflectionalVerbs,NA,NA,NA,NA,NA,NA,pseudoword,1,vocias.wav,right,,inc_j_beg_04,2023-07-20_09h22.31.002,auditory_ldt_2023_esp_list1,2021.1.1,Win32,60.0024001,,,0,1,7.5127,0,20,20,20,1,0,,
,,,,,,,,,,,,seguiais,InflectionalVerbs,NA,NA,NA,4,High,144.42,word,1,seguiais.wav,left,,inc_j_beg_04,2023-07-20_09h22.31.002,auditory_ldt_2023_esp_list1,2021.1.1,Win32,60.0024001,,,1,1,0.9288,0,21,21,21,1,1,,
