key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Word,Experiment,root_syllable,phonemes_firstsyllable,spatial_verb,Number_of_morphemes,lexical_freq,lex_freq_lexesp,Item_Type,list,wav,CorrResp,CorrRespNumb,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_4.keys,key_resp_4.rt,key_resp_6.keys,key_resp_6.corr,key_resp_6.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,CorRespNumb,key_resp_5.keys,key_resp_5.rt
space,18.2474,y,2.7792,0,0,2.8857,0,0,0,0,1,casita,practica,NA,NA,NA,NA,NA,NA,NA,NA,casita.wav,left,1,ADV_EN_20,2023-08-30_12h13.47.570,auditory_ldt_2023_esp_list1,2021.1.1,Win32,59.8372427,,,,,,,,,,,,,
,,,,1,1,0.9013,0,1,1,1,1,acabar,practica,NA,NA,NA,NA,NA,NA,NA,NA,acabar.wav,left,1,ADV_EN_20,2023-08-30_12h13.47.570,auditory_ldt_2023_esp_list1,2021.1.1,Win32,59.8372427,,,,,,,,,,,,,
,,,,0,1,1.2246,0,2,2,2,1,arujar,practica,NA,NA,NA,NA,NA,NA,NA,NA,arujar.wav,right,0,ADV_EN_20,2023-08-30_12h13.47.570,auditory_ldt_2023_esp_list1,2021.1.1,Win32,59.8372427,,,,,,,,,,,,,
,,,,1,1,1.7576,0,3,3,3,1,gatito,practica,NA,NA,NA,NA,NA,NA,NA,NA,gatito.wav,left,1,ADV_EN_20,2023-08-30_12h13.47.570,auditory_ldt_2023_esp_list1,2021.1.1,Win32,59.8372427,,,,,,,,,,,,,
,,,,0,1,3.6194,0,4,4,4,1,deslopar,practica,NA,NA,NA,NA,NA,NA,NA,NA,deslopar.wav,right,0,ADV_EN_20,2023-08-30_12h13.47.570,auditory_ldt_2023_esp_list1,2021.1.1,Win32,59.8372427,,,,,,,,,,,,,
,,,,0,1,0.8336,0,5,5,5,1,masuto,practica,NA,NA,NA,NA,NA,NA,NA,NA,masuto.wav,right,0,ADV_EN_20,2023-08-30_12h13.47.570,auditory_ldt_2023_esp_list1,2021.1.1,Win32,59.8372427,,,,,,,,,,,,,
,,,,,,,,,,,,solcito,morfosyllable,coincidente,3,NA,NA,NA,NA,word,"1,2and3",solcito.wav,left,,ADV_EN_20,2023-08-30_12h13.47.570,auditory_ldt_2023_esp_list1,2021.1.1,Win32,59.8372427,k,4.4854,1,1,2.8487,0,0,0,0,1,1,,
,,,,,,,,,,,,timpiais,InflectionalVerbs,NA,NA,NA,NA,NA,NA,pseudoword,1,timpiais.wav,right,,ADV_EN_20,2023-08-30_12h13.47.570,auditory_ldt_2023_esp_list1,2021.1.1,Win32,59.8372427,,,0,1,1.2941,0,1,1,1,1,0,,
,,,,,,,,,,,,anotar,visuospatial,NA,NA,no,NA,NA,NA,word,"1,2and3",anotar.wav,left,,ADV_EN_20,2023-08-30_12h13.47.570,auditory_ldt_2023_esp_list1,2021.1.1,Win32,59.8372427,,,1,1,0.6423,0,2,2,2,1,1,,
,,,,,,,,,,,,clobsuto,morfosyllable,NA,NA,NA,NA,NA,NA,pseudoword,"1,2and3",clobsuto.wav,right,,ADV_EN_20,2023-08-30_12h13.47.570,auditory_ldt_2023_esp_list1,2021.1.1,Win32,59.8372427,,,0,1,0.7961,0,3,3,3,1,0,,
,,,,,,,,,,,,firrias,InflectionalVerbs,NA,NA,NA,NA,NA,NA,pseudoword,1,firrias.wav,right,,ADV_EN_20,2023-08-30_12h13.47.570,auditory_ldt_2023_esp_list1,2021.1.1,Win32,59.8372427,,,0,1,0.9798,0,4,4,4,1,0,,
,,,,,,,,,,,,acortar,visuospatial,NA,NA,yes,NA,NA,NA,word,"1,2and3",acortar.wav,left,,ADV_EN_20,2023-08-30_12h13.47.570,auditory_ldt_2023_esp_list1,2021.1.1,Win32,59.8372427,,,1,1,0.6559,0,5,5,5,1,1,,
,,,,,,,,,,,,alejar,visuospatial,NA,NA,yes,NA,NA,NA,word,"1,2and3",alejar.wav,left,,ADV_EN_20,2023-08-30_12h13.47.570,auditory_ldt_2023_esp_list1,2021.1.1,Win32,59.8372427,,,1,1,0.5334,0,6,6,6,1,1,,
,,,,,,,,,,,,mielcita,morfosyllable,coincidente,4,NA,NA,NA,NA,word,"1,2and3",mielcita.wav,left,,ADV_EN_20,2023-08-30_12h13.47.570,auditory_ldt_2023_esp_list1,2021.1.1,Win32,59.8372427,,,0,0,1.8678,0,7,7,7,1,1,,
,,,,,,,,,,,,girtias,InflectionalVerbs,NA,NA,NA,NA,NA,NA,pseudoword,1,girtias.wav,right,,ADV_EN_20,2023-08-30_12h13.47.570,auditory_ldt_2023_esp_list1,2021.1.1,Win32,59.8372427,,,0,1,1.8243,0,8,8,8,1,0,,
,,,,,,,,,,,,descrefiar,visuospatial,NA,NA,NA,NA,NA,NA,pseudoword,"1,2and3",descrefiar.wav,right,,ADV_EN_20,2023-08-30_12h13.47.570,auditory_ldt_2023_esp_list1,2021.1.1,Win32,59.8372427,,,0,1,0.9049,0,9,9,9,1,0,,
,,,,,,,,,,,,juancito,morfosyllable,coincidente,4,NA,NA,NA,NA,word,"1,2and3",juancito.wav,left,,ADV_EN_20,2023-08-30_12h13.47.570,auditory_ldt_2023_esp_list1,2021.1.1,Win32,59.8372427,,,1,1,2.4021,0,10,10,10,1,1,,
